Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,7.234375,7.359375,7.218750,7.359375,3.260038,2910400
1990-01-03,7.421875,7.515625,7.421875,7.437500,3.294647,5712000
1990-01-04,7.437500,7.484375,7.421875,7.468750,3.308488,2397600
1990-01-05,7.468750,7.468750,7.390625,7.421875,3.287722,2043200
1990-01-08,7.421875,7.421875,7.328125,7.375000,3.266959,1340800
1990-01-09,7.375000,7.421875,7.312500,7.328125,3.246194,2283200
1990-01-10,7.328125,7.375000,7.296875,7.343750,3.253115,2684800
1990-01-11,7.343750,7.375000,7.328125,7.343750,3.253115,2259200
1990-01-12,7.328125,7.328125,7.203125,7.218750,3.197744,1362400
1990-01-15,7.203125,7.203125,7.156250,7.187500,3.183898,1007200
1990-01-16,7.156250,7.156250,7.078125,7.125000,3.172769,2668000
1990-01-17,7.046875,7.046875,6.812500,6.859375,3.054487,7724000
1990-01-18,6.859375,7.031250,6.687500,6.921875,3.082315,6443200
1990-01-19,6.921875,6.921875,6.843750,6.890625,3.068401,4531200
1990-01-22,6.890625,6.906250,6.765625,6.812500,3.033610,1825600
1990-01-23,6.812500,6.937500,6.796875,6.906250,3.075357,2964800
1990-01-24,6.906250,7.031250,6.781250,6.968750,3.103189,3203200
1990-01-25,6.968750,7.000000,6.890625,6.890625,3.068401,1330400
1990-01-26,6.890625,6.921875,6.812500,6.859375,3.054487,1689600
1990-01-29,6.859375,6.890625,6.765625,6.828125,3.040569,1153600
1990-01-30,6.828125,6.843750,6.734375,6.812500,3.033610,1355200
1990-01-31,6.828125,6.937500,6.828125,6.921875,3.082315,3260000
1990-02-01,6.937500,7.000000,6.937500,6.937500,3.089275,2389600
1990-02-02,6.937500,7.031250,6.875000,6.953125,3.096232,1966400
1990-02-05,6.953125,6.953125,6.875000,6.906250,3.075357,1725600
1990-02-06,6.890625,6.890625,6.828125,6.875000,3.061442,1142400
1990-02-07,6.875000,6.984375,6.781250,6.906250,3.075357,1573600
1990-02-08,6.906250,7.078125,6.906250,7.015625,3.124064,3035200
1990-02-09,7.015625,7.015625,6.921875,6.968750,3.103189,940800
1990-02-12,6.937500,6.937500,6.875000,6.921875,3.082315,1288000
1990-02-13,6.921875,6.921875,6.828125,6.921875,3.082315,1884800
1990-02-14,6.921875,6.968750,6.890625,6.937500,3.089275,1682400
1990-02-15,6.937500,7.031250,6.921875,6.984375,3.110146,1418400
1990-02-16,6.984375,7.078125,6.984375,7.031250,3.131023,2558400
1990-02-20,7.000000,7.000000,6.953125,7.000000,3.117105,1002400
1990-02-21,7.000000,7.109375,6.875000,7.093750,3.158851,1913600
1990-02-22,7.109375,7.281250,7.109375,7.187500,3.200599,3349600
1990-02-23,7.187500,7.250000,7.140625,7.218750,3.214514,1857600
1990-02-26,7.265625,7.421875,7.265625,7.390625,3.291050,4646400
1990-02-27,7.390625,7.562500,7.359375,7.515625,3.346713,6055200
1990-02-28,7.515625,7.578125,7.500000,7.578125,3.374545,3759200
1990-03-01,7.562500,7.562500,7.484375,7.546875,3.360630,2911200
1990-03-02,7.546875,7.765625,7.546875,7.765625,3.458040,7916800
1990-03-05,7.765625,7.796875,7.718750,7.796875,3.471953,2763200
1990-03-06,7.796875,7.843750,7.718750,7.843750,3.492828,3267200
1990-03-07,7.843750,7.859375,7.781250,7.796875,3.471953,2452000
1990-03-08,7.796875,7.812500,7.656250,7.796875,3.471953,3474400
1990-03-09,7.765625,7.765625,7.640625,7.750000,3.451081,3742400
1990-03-12,7.687500,7.687500,7.625000,7.656250,3.409335,2052800
1990-03-13,7.593750,7.593750,7.406250,7.531250,3.353672,8483200
1990-03-14,7.531250,7.531250,7.453125,7.531250,3.353672,4519200
1990-03-15,7.531250,7.593750,7.515625,7.578125,3.374545,3153600
1990-03-16,7.578125,7.609375,7.562500,7.593750,3.381503,2744800
1990-03-19,7.593750,7.687500,7.515625,7.687500,3.423249,1945600
1990-03-20,7.687500,7.750000,7.625000,7.640625,3.402376,2611200
1990-03-21,7.640625,7.671875,7.593750,7.609375,3.388460,1560000
1990-03-22,7.609375,7.609375,7.546875,7.578125,3.374545,2002400
1990-03-23,7.609375,7.703125,7.609375,7.703125,3.430207,2882400
1990-03-26,7.703125,7.750000,7.671875,7.734375,3.444125,2924000
1990-03-27,7.734375,7.734375,7.640625,7.703125,3.430207,1342400
1990-03-28,7.703125,7.718750,7.656250,7.656250,3.409335,1027200
1990-03-29,7.656250,7.656250,7.593750,7.656250,3.409335,778400
1990-03-30,7.656250,7.656250,7.593750,7.640625,3.402376,1112000
1990-04-02,7.578125,7.578125,7.484375,7.515625,3.346713,2544000
1990-04-03,7.531250,7.625000,7.531250,7.609375,3.388460,2569600
1990-04-04,7.609375,7.640625,7.578125,7.578125,3.374545,1610400
1990-04-05,7.578125,7.656250,7.562500,7.640625,3.402376,1200000
1990-04-06,7.593750,7.593750,7.500000,7.546875,3.360630,1929600
1990-04-09,7.546875,7.546875,7.500000,7.531250,3.353672,819200
1990-04-10,7.531250,7.546875,7.500000,7.531250,3.353672,1262400
1990-04-11,7.531250,7.546875,7.500000,7.531250,3.353672,903200
1990-04-12,7.531250,7.546875,7.484375,7.515625,3.346713,2324000
1990-04-16,7.515625,7.578125,7.515625,7.531250,3.353672,2777600
1990-04-17,7.515625,7.515625,7.421875,7.515625,3.363461,959200
1990-04-18,7.515625,7.515625,7.421875,7.421875,3.321505,1271200
1990-04-19,7.421875,7.515625,7.406250,7.484375,3.349474,2141600
1990-04-20,7.484375,7.656250,7.468750,7.562500,3.384439,8148000
1990-04-23,7.562500,7.656250,7.546875,7.578125,3.391432,5410400
1990-04-24,7.625000,7.734375,7.625000,7.656250,3.426396,4377600
1990-04-25,7.671875,7.812500,7.671875,7.781250,3.482336,5344800
1990-04-26,7.781250,7.859375,7.750000,7.812500,3.496321,4086400
1990-04-27,7.796875,7.796875,7.703125,7.718750,3.454367,2827200
1990-04-30,7.718750,7.734375,7.640625,7.671875,3.433388,1590400
1990-05-01,7.671875,7.718750,7.640625,7.656250,3.426396,1205600
1990-05-02,7.656250,7.828125,7.625000,7.828125,3.503313,4767200
1990-05-03,7.828125,7.921875,7.828125,7.843750,3.510306,2600000
1990-05-04,7.843750,7.890625,7.781250,7.859375,3.517300,3759200
1990-05-07,7.859375,8.078125,7.859375,8.046875,3.601211,3384000
1990-05-08,8.046875,8.078125,8.000000,8.078125,3.615196,2956800
1990-05-09,8.078125,8.156250,8.046875,8.125000,3.636173,5216000
1990-05-10,8.125000,8.125000,7.968750,7.968750,3.566249,3237600
1990-05-11,8.062500,8.328125,8.062500,8.281250,3.706101,5644800
1990-05-14,8.296875,8.515625,8.296875,8.406250,3.762042,8752000
1990-05-15,8.375000,8.375000,8.281250,8.328125,3.727081,4753600
1990-05-16,8.328125,8.343750,8.187500,8.203125,3.671136,4322400
1990-05-17,8.203125,8.296875,8.203125,8.250000,3.692113,6077600
1990-05-18,8.250000,8.265625,8.203125,8.250000,3.692113,3316800
1990-05-21,8.250000,8.406250,8.218750,8.375000,3.748057,6319200
1990-05-22,8.375000,8.546875,8.375000,8.421875,3.769034,8536000
1990-05-23,8.421875,8.484375,8.375000,8.468750,3.790014,4380000
1990-05-24,8.468750,8.484375,8.390625,8.468750,3.790014,3849600
1990-05-25,8.468750,8.468750,8.421875,8.453125,3.783019,1559200
1990-05-29,8.453125,8.453125,8.421875,8.453125,3.783019,2933600
1990-05-30,8.453125,8.500000,8.390625,8.437500,3.776027,3254400
1990-05-31,8.437500,8.437500,8.359375,8.375000,3.748057,1753600
1990-06-01,8.375000,8.406250,8.328125,8.359375,3.741062,1752000
1990-06-04,8.359375,8.390625,8.265625,8.390625,3.755047,4615200
1990-06-05,8.421875,8.562500,8.421875,8.468750,3.790014,5160000
1990-06-06,8.453125,8.453125,8.421875,8.453125,3.783019,2325600
1990-06-07,8.453125,8.468750,8.375000,8.390625,3.755047,1782400
1990-06-08,8.390625,8.406250,8.218750,8.312500,3.720085,1494400
1990-06-11,8.296875,8.296875,8.234375,8.234375,3.685121,2165600
1990-06-12,8.234375,8.265625,8.171875,8.250000,3.692113,3391200
1990-06-13,8.250000,8.312500,8.203125,8.218750,3.678129,2272800
1990-06-14,8.218750,8.250000,8.156250,8.250000,3.692113,2128800
1990-06-15,8.250000,8.250000,8.187500,8.203125,3.671136,3251200
1990-06-18,8.203125,8.203125,8.078125,8.078125,3.615196,3456800
1990-06-19,8.078125,8.109375,8.015625,8.046875,3.601211,3138400
1990-06-20,8.046875,8.156250,8.046875,8.140625,3.643167,3072800
1990-06-21,8.062500,8.062500,7.968750,8.031250,3.594215,5426400
1990-06-22,8.031250,8.046875,7.937500,7.937500,3.552260,2927200
1990-06-25,7.671875,7.671875,7.296875,7.312500,3.272558,15147200
1990-06-26,6.578125,6.578125,6.437500,6.562500,2.936910,39300800
1990-06-27,6.562500,6.562500,6.484375,6.531250,2.922924,11750400
1990-06-28,6.531250,6.562500,6.484375,6.546875,2.929917,7788800
1990-06-29,6.546875,6.593750,6.515625,6.578125,2.943905,5550400
1990-07-02,6.578125,6.656250,6.531250,6.625000,2.964880,7339200
1990-07-03,6.640625,6.750000,6.640625,6.750000,3.020821,4628800
1990-07-05,6.718750,6.718750,6.625000,6.687500,2.992851,2619200
1990-07-06,6.671875,6.671875,6.578125,6.609375,2.957888,3207200
1990-07-09,6.625000,6.703125,6.625000,6.687500,2.992851,2110400
1990-07-10,6.687500,6.796875,6.656250,6.656250,2.978865,5738400
1990-07-11,6.656250,6.781250,6.656250,6.781250,3.034808,3385600
1990-07-12,6.781250,6.796875,6.718750,6.796875,3.041799,2547200
1990-07-13,6.796875,6.812500,6.578125,6.593750,2.950895,4672000
1990-07-16,6.593750,6.687500,6.562500,6.671875,3.002936,4260000
1990-07-17,6.671875,6.718750,6.546875,6.593750,2.967773,4864800
1990-07-18,6.593750,6.625000,6.546875,6.578125,2.960743,2308800
1990-07-19,6.562500,6.562500,6.515625,6.562500,2.953708,2534400
1990-07-20,6.562500,6.640625,6.562500,6.562500,2.953708,3292000
1990-07-23,6.562500,6.562500,6.390625,6.484375,2.918545,2940800
1990-07-24,6.484375,6.500000,6.359375,6.375000,2.869317,3568800
1990-07-25,6.375000,6.406250,6.015625,6.234375,2.806023,8115200
1990-07-26,6.234375,6.234375,6.093750,6.125000,2.756794,5448000
1990-07-27,6.125000,6.125000,5.953125,6.000000,2.700534,4069600
1990-07-30,6.000000,6.140625,6.000000,6.109375,2.749762,2328800
1990-07-31,6.109375,6.140625,6.062500,6.109375,2.749762,2137600
1990-08-01,6.109375,6.156250,6.109375,6.156250,2.770858,1399200
1990-08-02,6.000000,6.000000,5.937500,5.953125,2.679435,3386400
1990-08-03,5.953125,5.968750,5.781250,5.890625,2.651305,3607200
1990-08-06,5.750000,5.750000,5.656250,5.656250,2.545815,2733600
1990-08-07,5.656250,5.734375,5.625000,5.656250,2.545815,4390400
1990-08-08,5.687500,5.937500,5.687500,5.828125,2.623174,3464800
1990-08-09,5.828125,5.921875,5.828125,5.921875,2.665370,1673600
1990-08-10,5.921875,5.953125,5.843750,5.875000,2.644271,1237600
1990-08-13,5.859375,5.859375,5.812500,5.828125,2.623174,2027200
1990-08-14,5.828125,5.921875,5.796875,5.921875,2.665370,1052800
1990-08-15,5.921875,5.968750,5.812500,5.843750,2.630207,2952800
1990-08-16,5.828125,5.828125,5.734375,5.750000,2.588010,1291200
1990-08-17,5.656250,5.656250,5.500000,5.578125,2.510652,2644800
1990-08-20,5.578125,5.671875,5.531250,5.656250,2.545815,1668800
1990-08-21,5.578125,5.578125,5.468750,5.484375,2.468456,2037600
1990-08-22,5.484375,5.531250,5.375000,5.375000,2.419226,1578400
1990-08-23,5.375000,5.390625,5.078125,5.296875,2.384064,5992000
1990-08-24,5.328125,5.484375,5.328125,5.484375,2.468456,1904000
1990-08-27,5.593750,5.718750,5.593750,5.593750,2.517684,2592800
1990-08-28,5.593750,5.625000,5.453125,5.484375,2.468456,1252000
1990-08-29,5.484375,5.546875,5.468750,5.468750,2.461424,1880800
1990-08-30,5.468750,5.468750,5.343750,5.343750,2.405162,1199200
1990-08-31,5.343750,5.375000,5.281250,5.375000,2.419226,620000
1990-09-04,5.375000,5.484375,5.375000,5.437500,2.447357,1190400
1990-09-05,5.437500,5.546875,5.375000,5.531250,2.489553,1434400
1990-09-06,5.531250,5.531250,5.343750,5.437500,2.447357,1294400
1990-09-07,5.437500,5.500000,5.421875,5.484375,2.468456,847200
1990-09-10,5.484375,5.593750,5.421875,5.437500,2.447357,3515200
1990-09-11,5.437500,5.437500,5.312500,5.343750,2.405162,3550400
1990-09-12,5.343750,5.375000,5.265625,5.343750,2.405162,1540000
1990-09-13,5.343750,5.359375,5.312500,5.343750,2.405162,900800
1990-09-14,5.312500,5.312500,5.171875,5.203125,2.341869,2049600
1990-09-17,5.203125,5.312500,5.156250,5.312500,2.391094,1546400
1990-09-18,5.312500,5.328125,5.234375,5.328125,2.398130,871200
1990-09-19,5.328125,5.328125,5.234375,5.265625,2.369998,1204000
1990-09-20,5.265625,5.265625,5.218750,5.250000,2.362967,1072000
